"Institucion_normalizada","Nro_Institucion","Tipo","Propiedad","Short_name","Fecha_procesada","año","Short_name_año","ROA","ROE","Apalancamiento_Global","Deterioros_Vencidos","Cobertura_Morosidad","Tasa_Morosidad","Credito_Activo","Deterioro_Credito","Ratio_Eficiencia","Intereses_C_Vigente","Comisiones_C_Vigente","Comisiones_perd_C_Vigente","Incobrables_C_Vigente","Gastos_C_Vigente","GPersonal_C_Vigente","Ctos_Ints_C_Vigente","Resultados_C_Vigente","Incob_C_Bruta","Incob_C_Ints","Ingr_C_Bruta","incr_Cartera","incr_Mora","incr_G_Personal","incr_Ingresos","incr_Incob","Ratio_Eficiencia_ctrol","Activos_promedio","Activos_promedio.1","ROA_1","ROE_1","SOM.cell","Superclass"
"Banco de la Nación Argentina",246,"Banco","Privado","Nacion",2017-12-31,2017,"Nacion_2017",-0.0167550761975952,-0.201169008614201,10.870550467735,1.60815939278937,100,0.0289175257731958,0.365318439412912,0.0465039906883937,1.72854528526022,0.0923496042013051,0.0091882145651864,0.0055898111159245,0.0193387430673157,0.0257906984310173,0.066397949346671,0.0207505363787201,-0.049954709602078,0.0187795144662454,0.209407969146904,0.0896790821416694,0.252665468934714,1.99855366758881,-0.131711478688195,0.142109276542934,0.840746837988903,2.95811795678557,121.068256158374,121.068256158374,-0.0185859715859011,-0.220625713702328,4,1
"Banco de la Nación Argentina",246,"Banco","Privado","Nacion",2018-12-31,2018,"Nacion_2018",-0.0007626561320093,-0.0091041472434812,11.0046014236076,30.2525520918153,100,0.002904907762599,0.10294488951037,0.0263959374994671,1.01743129442079,0.0955677505605137,0.0070756827466852,0.0048481114091061,0.0097561037681472,0.040445090609795,0.048811956339452,0.0196192447343031,-0.0020247246196745,0.0097475913786959,0.102085731964253,0.0954843658476107,0.0157576508576551,-0.970212143243226,-0.253273352671484,0.0511541943969258,-0.487565608035545,1.01582723991707,109.503387655163,109.503387655163,-0.0007601466225884,-0.009125257227676,4,1
"Banco de la Nación Argentina",246,"Banco","Privado","Nacion",2019-12-31,2019,"Nacion_2019",0.0059670174085492,0.0683567198491283,9.89627530243589,4.39839427413584,48.4344261329501,0.0304876652721014,0.0723807646362902,0.0531041187442629,0.801752703703254,0.178643128629132,0.0106862885779251,0.0084778677168771,0.0038903394835228,0.0847996847393877,0.0886545739474954,0.0098407338606154,0.0303756341381373,0.0038433693764764,0.0217771571365573,0.176486276531685,-0.505432008932445,5.92119778009105,-0.101742322490674,-0.0755126836621697,-0.802786293723271,0.801327879398449,103.844717945818,103.844717945818,0.0063342311048393,0.0690195259475827,4,1
"Banco de la Nación Argentina",246,"Banco","Privado","Nacion",2020-12-31,2020,"Nacion_2020",-0.0551138616168124,-0.513325114636866,6.79157302233291,4.01108614761996,100,0.0619909484871179,0.0857248640022244,0.0864517271009526,-3.07140547967348,0.105802746968425,0.0077715948310092,0.0076340086689398,0.106309590109578,0.0740162968785645,0.079766589122701,0.0036298466875372,-0.201293613422339,0.104018278645769,1.00479045351539,0.103522359594329,0.144450295718754,1.06282305476551,0.0297144574178007,-0.32219063792121,30.2738881411125,-3.07140547967348,85.2672885539723,85.2672885539723,-0.0646321977636823,-0.503586324890158,4,1
"Banco de la Nación Argentina",246,"Banco","Privado","Nacion",2021-12-31,2021,"Nacion_2021",-0.0061633749782118,-0.0567990717096126,9.86507698460308,2.45106414459963,100,0.0670980367123688,0.101107325527004,0.0505871849520681,1.20267324696689,0.0657160115219397,0.0096389675574404,0.0055681639968062,0.0002441420649141,0.0432940838917646,0.0537092639925463,0.0007204844633065,-0.0146425530291326,0.0002391032495002,0.0037151077684114,0.0643597075522957,0.444551285926699,0.38197908565287,-0.0273398020408901,-0.102762908619738,-0.996682559555944,1.20267324696689,80.1206526344542,80.1206526344542,-0.0056415683207189,-0.0612960741185096,4,1
"Banco de la Nación Argentina",246,"Banco","Privado","Nacion",2022-12-31,2022,"Nacion_2022",0.004178456499833,0.0565841004866547,14.8476602421276,8.96018488268772,100,0.0146773674650757,0.0783761219110351,0.0330063087286575,0.882491750087569,0.0707232734037454,0.0088716639781034,0.0044344219979554,0.0278524941198553,0.0244224557795184,0.0430724080106651,0.0077027813592465,0.0092758614257178,0.0277498948954175,0.393823599776709,0.0704627526414143,0.574448430022624,-0.723771678333092,0.262636650152139,0.69441425609667,178.618025491168,0.8824856049014,117.872656274792,117.872656274792,0.0033230708097291,0.0526628971531189,4,1
"Banco de la Nación Argentina",246,"Banco","Privado","Nacion",2023-12-31,2023,"Nacion_2023",0.0181918496421072,0.2564997372412,11.7564926997924,8.66152066614629,68.1672618096665,0.010910350220001,0.116184402260176,0.0485789014752086,0.589314545150384,0.202106471879497,0.0128100100405819,0.0078760745982043,0.0034748365933984,0.0408940051607009,0.0598449991445251,0.0393517762496787,0.0716335069827223,0.0034553476663358,0.0171930990684466,0.200972939932468,-0.274282359341149,0.107085400517988,0.0083153831019147,1.07388918633545,-0.909460524311234,0.589310654720453,151.73359216239,151.73359216239,0.0177794452822315,0.226803363949145,4,1
"Banco de la República Oriental del Uruguay",1,"Banco","Publico","BROU",2013-12-31,2013,"BROU_2013",0.0209514217688354,0.234345005220854,10.7468959238423,3.82326186972144,30.9353731546323,0.0101535348334134,0.58362326074939,0.0388196225714779,0.621624036396051,0.102003377889671,0.0082125033076391,0.001405685095715,0.0059388691110702,0.0228834581605061,0.0360475314728858,0.0157368468544565,0.0337444609811517,0.0058785685966798,0.0582222788493709,0.100967683039143,-0.139111443457475,-0.0941093607339667,0.0584529877125243,-0.0138950380275416,-0.351960965626026,1.62515572542195,13841.8105253286,13841.8105253286,0.0202814045742966,0.238243548723602,4,1
"Banco de la República Oriental del Uruguay",1,"Banco","Publico","BROU",2014-12-31,2014,"BROU_2014",0.0115692047281582,0.137058223594541,10.9435336267358,2.93008967815685,28.1563166655167,0.0150582685728303,0.539407761790673,0.0441220773161637,0.61821855635039,0.10427617823819,0.0093529473098948,0.0015572048990503,0.0109293320464069,0.0193844749061659,0.0386711897475695,0.0176525493676511,0.0203159425309843,0.0107647552291304,0.10481139826051,0.102705959540531,-0.028652861246931,0.447736549719634,0.0420449883435931,-0.0070096749018809,0.787575245928683,1.73188062045357,14659.2529528995,14659.2529528995,0.0112917765293857,0.134863712315288,4,1
"Banco de la República Oriental del Uruguay",1,"Banco","Publico","BROU",2015-12-31,2015,"BROU_2015",0.0131258391487738,0.158862673079429,11.265752680628,2.18328931254159,20.827764277391,0.0201362956337371,0.53403870899077,0.043963359051316,0.543905102606845,0.0997985247032392,0.010457394425518,0.0014666800790215,0.0105800484781973,0.0180078780963338,0.0347410445889339,0.018351728428268,0.0238991631946668,0.0103670054942211,0.106014076958133,0.0977889521060039,-0.0084727362805505,0.332766500132233,-0.109241450680062,-0.0510492444764331,-0.0401603251632418,1.68581658331587,15070.8812188423,15070.8812188423,0.0130811692834505,0.160450387204232,4,1
"Banco de la República Oriental del Uruguay",1,"Banco","Publico","BROU",2016-12-31,2016,"BROU_2016",0.0047718243056905,0.0582223604187809,11.1414887316858,1.36646979642926,8.22237749718759,0.034511567690214,0.519075563736652,0.0471590148761013,0.614046743184798,0.114181938934575,0.0129284609403272,0.0019412894219232,0.0139859720923843,0.0191426323329769,0.0368533453031016,0.0236862593181076,0.0087860638303675,0.0135032942698045,0.122488479551903,0.110241341220034,0.0257013502081082,0.784122344199071,0.0880653268876536,0.173530062521774,0.355894586749161,1.76791067569118,15631.9755224065,15631.9755224065,0.0046211661523989,0.0561078367666,4,1
"Banco de la República Oriental del Uruguay",1,"Banco","Publico","BROU",2017-12-31,2017,"BROU_2017",0.0106045058435675,0.120450669710808,9.69593293174045,1.49952568381625,12.3532622083937,0.0340401539410481,0.53025460790838,0.0510440851156607,0.63644607022736,0.118509829288381,0.0145828208211689,0.0032699208623988,0.0187675107471194,0.0201302118654772,0.0361898303565318,0.0257685980904747,0.019257970325515,0.0181286617921972,0.158362482334278,0.114475736455877,0.0685190136879656,0.0534091433240015,0.0492811851965515,0.109019579498538,0.43382540308442,1.66674360966393,16474.2741642219,16474.2741642219,0.0103946052468015,0.111180000571707,4,1
"Banco de la República Oriental del Uruguay",1,"Banco","Publico","BROU",2018-12-31,2018,"BROU_2018",0.0259600865740265,0.25832390620416,8.31333040419902,1.56919186813556,13.1048400453556,0.0546848663794824,0.25546417538609,0.0738649407456751,0.481454830339429,0.183329283590036,0.0248264530345378,0.0058882592389238,0.0197326953692,0.03820773330095,0.0581341881964895,0.0189769048602711,0.0831841152189038,0.0188038386730905,0.107635261442065,0.174699614430831,-0.41667760311886,-0.1823293492603,-0.0629695230556668,-0.0976269414580373,-0.386678216691371,0.481454830339429,16956.2233541655,16956.2233541655,0.0257335317719976,0.239664883859567,4,1
